Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1667394480783,02/11/2022 13:08:00,1667394480681,-4,02/11/2022 09:08:00,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,BEGIN QUESTIONNAIRE,
2,1667394605469,02/11/2022 13:10:05,1667394605389,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,visionproblems,Yes
3,1667394605596,02/11/2022 13:10:05,1667394605390,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,visionproblems-quantised,1
4,1667394605596,02/11/2022 13:10:05,1667394605390,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,response-3,No
5,1667394605596,02/11/2022 13:10:05,1667394605390,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,response-3-quantised,2
6,1667394605596,02/11/2022 13:10:05,1667394605390,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,wearing-1,Eye glasses
7,1667394605596,02/11/2022 13:10:05,1667394605390,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,light,Yes
8,1667394605596,02/11/2022 13:10:05,1667394605391,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,light-quantised,1
9,1667394605596,02/11/2022 13:10:05,1667394605391,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,camerause,Yes
10,1667394605596,02/11/2022 13:10:05,1667394605391,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,camerause-quantised,1
11,1667394605596,02/11/2022 13:10:05,1667394605391,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,camera_brand,
12,1667394605596,02/11/2022 13:10:05,1667394605391,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,distancefromscreen,17 in
13,1667394605596,02/11/2022 13:10:05,1667394605391,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,lookphone,0
14,1667394605596,02/11/2022 13:10:05,1667394605391,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,response-1,0
15,1667394605596,02/11/2022 13:10:05,1667394605392,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,envdistraction,Yes
16,1667394605596,02/11/2022 13:10:05,1667394605392,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,envdistraction-quantised,1
17,1667394605596,02/11/2022 13:10:05,1667394605392,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,response-2,Yes
18,1667394605596,02/11/2022 13:10:05,1667394605392,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,help,n/a
19,1667394605596,02/11/2022 13:10:05,1667394605392,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,response-4,No
