Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
20,1667394605596,02/11/2022 13:10:05,1667394605392,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,response-4-quantised,2
21,1667394605596,02/11/2022 13:10:05,1667394605392,-4,02/11/2022 09:10:05,77588,10,questionnaire-6fn4,,24953121,BLIND,7371605,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1728x1117,1728x908,,ET_Data_Quality,3,No,END QUESTIONNAIRE,124711
1,1667399940467,02/11/2022 14:39:00,1667399938167,-4,02/11/2022 10:38:58,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x649,,ET_Data_Quality,3,No,BEGIN QUESTIONNAIRE,
2,1667400016205,02/11/2022 14:40:16,1667400013776,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,visionproblems,Yes
3,1667400016301,02/11/2022 14:40:16,1667400013778,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,visionproblems-quantised,1
4,1667400016301,02/11/2022 14:40:16,1667400013779,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,response-3,No
5,1667400016301,02/11/2022 14:40:16,1667400013779,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,response-3-quantised,2
6,1667400016301,02/11/2022 14:40:16,1667400013779,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,light,Yes
7,1667400016301,02/11/2022 14:40:16,1667400013779,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,light-quantised,1
8,1667400016301,02/11/2022 14:40:16,1667400013779,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,camerause,Yes
9,1667400016301,02/11/2022 14:40:16,1667400013780,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,camerause-quantised,1
10,1667400016301,02/11/2022 14:40:16,1667400013780,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,camera_brand,
11,1667400016301,02/11/2022 14:40:16,1667400013780,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,distancefromscreen,15 inches
12,1667400016301,02/11/2022 14:40:16,1667400013781,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,lookphone,0
13,1667400016301,02/11/2022 14:40:16,1667400013781,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,response-1,0
14,1667400016301,02/11/2022 14:40:16,1667400013781,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,envdistraction,Yes
15,1667400016301,02/11/2022 14:40:16,1667400013782,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,envdistraction-quantised,1
16,1667400016301,02/11/2022 14:40:16,1667400013782,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,response-2,yes
17,1667400016301,02/11/2022 14:40:16,1667400013782,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,help,it was pretty easy to understand
18,1667400016301,02/11/2022 14:40:16,1667400013782,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,response-4,No
19,1667400016301,02/11/2022 14:40:16,1667400013782,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,response-4-quantised,2
20,1667400016301,02/11/2022 14:40:16,1667400013783,-4,02/11/2022 10:40:13,77588,10,questionnaire-6fn4,,24955745,BLIND,7372659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x649,,ET_Data_Quality,3,No,END QUESTIONNAIRE,75616
1,1667481982240,03/11/2022 13:26:22,1667481981889,-4,03/11/2022 09:26:21,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,BEGIN QUESTIONNAIRE,
2,1667482042910,03/11/2022 13:27:22,1667482042586,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,visionproblems,No
3,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,visionproblems-quantised,2
4,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,response-3,No
5,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,response-3-quantised,2
6,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,light,Yes
7,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,light-quantised,1
8,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,camerause,Yes
9,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,camerause-quantised,1
10,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,camera_brand,
11,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,distancefromscreen,15 inches 
12,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,lookphone,Once 
13,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,response-1,None 
14,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,envdistraction,No
15,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,envdistraction-quantised,2
16,1667482043019,03/11/2022 13:27:23,1667482042588,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,response-2,Yes 
17,1667482043019,03/11/2022 13:27:23,1667482042589,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,help,How far away from screen to sit 
18,1667482043019,03/11/2022 13:27:23,1667482042589,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,response-4,No
19,1667482043019,03/11/2022 13:27:23,1667482042589,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,response-4-quantised,2
20,1667482043019,03/11/2022 13:27:23,1667482042589,-4,03/11/2022 09:27:22,77588,10,questionnaire-6fn4,,24978689,BLIND,7380771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x742,,ET_Data_Quality,3,No,END QUESTIONNAIRE,60700
1,1667483081419,03/11/2022 13:44:41,1667483081280,-4,03/11/2022 09:44:41,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,BEGIN QUESTIONNAIRE,
2,1667483154049,03/11/2022 13:45:54,1667483153953,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,visionproblems,No
3,1667483154158,03/11/2022 13:45:54,1667483153956,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,visionproblems-quantised,2
4,1667483154158,03/11/2022 13:45:54,1667483153957,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,response-3,No
5,1667483154158,03/11/2022 13:45:54,1667483153957,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,response-3-quantised,2
6,1667483154158,03/11/2022 13:45:54,1667483153957,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,wearing-1,Eye glasses
7,1667483154158,03/11/2022 13:45:54,1667483153957,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,light,Yes
8,1667483154158,03/11/2022 13:45:54,1667483153957,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,light-quantised,1
9,1667483154158,03/11/2022 13:45:54,1667483153957,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,camerause,Yes
10,1667483154158,03/11/2022 13:45:54,1667483153957,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,camerause-quantised,1
11,1667483154158,03/11/2022 13:45:54,1667483153957,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,camera_brand,
12,1667483154158,03/11/2022 13:45:54,1667483153958,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,distancefromscreen,10 inches
13,1667483154158,03/11/2022 13:45:54,1667483153958,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,lookphone,none
14,1667483154158,03/11/2022 13:45:54,1667483153958,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,response-1,none
15,1667483154158,03/11/2022 13:45:54,1667483153958,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,envdistraction,Yes
16,1667483154158,03/11/2022 13:45:54,1667483153958,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,envdistraction-quantised,1
17,1667483154158,03/11/2022 13:45:54,1667483153958,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,response-2,yes
18,1667483154158,03/11/2022 13:45:54,1667483153959,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,help,none
19,1667483154158,03/11/2022 13:45:54,1667483153959,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,response-4,No
20,1667483154158,03/11/2022 13:45:54,1667483153959,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,response-4-quantised,2
21,1667483154158,03/11/2022 13:45:54,1667483153959,-4,03/11/2022 09:45:53,77588,10,questionnaire-6fn4,,24979092,BLIND,7380889,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x821,,ET_Data_Quality,3,No,END QUESTIONNAIRE,72679
1,1667483244931,03/11/2022 13:47:24,1667483244350,-4,03/11/2022 09:47:24,77588,10,questionnaire-6fn4,,24979142,BLIND,7380884,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1829x1029,1830x889,,ET_Data_Quality,3,No,BEGIN QUESTIONNAIRE,
2,1667483292822,03/11/2022 13:48:12,1667483292249,-4,03/11/2022 09:48:12,77588,10,questionnaire-6fn4,,24979142,BLIND,7380884,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1829x1029,1813x889,,ET_Data_Quality,3,No,visionproblems,No
3,1667483292918,03/11/2022 13:48:12,1667483292252,-4,03/11/2022 09:48:12,77588,10,questionnaire-6fn4,,24979142,BLIND,7380884,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1829x1029,1813x889,,ET_Data_Quality,3,No,visionproblems-quantised,2
4,1667483292918,03/11/2022 13:48:12,1667483292253,-4,03/11/2022 09:48:12,77588,10,questionnaire-6fn4,,24979142,BLIND,7380884,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1829x1029,1813x889,,ET_Data_Quality,3,No,response-3,No
5,1667483292918,03/11/2022 13:48:12,1667483292253,-4,03/11/2022 09:48:12,77588,10,questionnaire-6fn4,,24979142,BLIND,7380884,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1829x1029,1813x889,,ET_Data_Quality,3,No,response-3-quantised,2
6,1667483292918,03/11/2022 13:48:12,1667483292253,-4,03/11/2022 09:48:12,77588,10,questionnaire-6fn4,,24979142,BLIND,7380884,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1829x1029,1813x889,,ET_Data_Quality,3,No,light,Yes
7,1667483292918,03/11/2022 13:48:12,1667483292254,-4,03/11/2022 09:48:12,77588,10,questionnaire-6fn4,,24979142,BLIND,7380884,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1829x1029,1813x889,,ET_Data_Quality,3,No,light-quantised,1
8,1667483292918,03/11/2022 13:48:12,1667483292254,-4,03/11/2022 09:48:12,77588,10,questionnaire-6fn4,,24979142,BLIND,7380884,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1829x1029,1813x889,,ET_Data_Quality,3,No,camerause,Yes
