Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
14,1668800970146,18/11/2022 19:49:30,1668800969906,-5,18/11/2022 14:49:29,77588,12,questionnaire-6fn4,,25335162,BLIND,7494811,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.2,1440x900,1440x820,,,,ET_Data_Quality,3,No,envdistraction,Yes
15,1668800970146,18/11/2022 19:49:30,1668800969906,-5,18/11/2022 14:49:29,77588,12,questionnaire-6fn4,,25335162,BLIND,7494811,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.2,1440x900,1440x820,,,,ET_Data_Quality,3,No,envdistraction-quantised,1
16,1668800970146,18/11/2022 19:49:30,1668800969906,-5,18/11/2022 14:49:29,77588,12,questionnaire-6fn4,,25335162,BLIND,7494811,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.2,1440x900,1440x820,,,,ET_Data_Quality,3,No,response-2,"Yes, but the calibration was not successful"
17,1668800970146,18/11/2022 19:49:30,1668800969906,-5,18/11/2022 14:49:29,77588,12,questionnaire-6fn4,,25335162,BLIND,7494811,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.2,1440x900,1440x820,,,,ET_Data_Quality,3,No,help,None
18,1668800970146,18/11/2022 19:49:30,1668800969906,-5,18/11/2022 14:49:29,77588,12,questionnaire-6fn4,,25335162,BLIND,7494811,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.2,1440x900,1440x820,,,,ET_Data_Quality,3,No,response-4,No
19,1668800970146,18/11/2022 19:49:30,1668800969906,-5,18/11/2022 14:49:29,77588,12,questionnaire-6fn4,,25335162,BLIND,7494811,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.2,1440x900,1440x820,,,,ET_Data_Quality,3,No,response-4-quantised,2
20,1668800970146,18/11/2022 19:49:30,1668800969906,-5,18/11/2022 14:49:29,77588,12,questionnaire-6fn4,,25335162,BLIND,7494811,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.2,1440x900,1440x820,,,,ET_Data_Quality,3,No,END QUESTIONNAIRE,52816
1,1668663232054,17/11/2022 05:33:52,1668663231932,-5,17/11/2022 00:33:51,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,BEGIN QUESTIONNAIRE,
2,1668663401700,17/11/2022 05:36:41,1668663401388,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,visionproblems,No
3,1668663401827,17/11/2022 05:36:41,1668663401390,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,visionproblems-quantised,2
